unit_id,effect,lat,lon,I_local,lag_z,z,p_perm,cluster,is_treated
BROOKLYN 08,-23.480519480519476,40.6742665808406,-73.9516026235024,0.060897395720845716,-0.03772483937627294,-1.6142519551494015,0.8416833667334669,ns,True
BROOKLYN 09,2.326839826839823,40.66333579584369,-73.94937590434286,-0.05171588474560843,-0.19831339533254372,0.2607785755414462,0.1843687374749499,ns,True
BROOKLYN 10,6.493506493506494,40.628246760383774,-74.02303662242083,0.053502300295287075,0.09494518837038397,0.563507232052382,0.6933867735470942,ns,True
BROOKLYN 11,6.969696969696972,40.60676809536288,-73.99206251824626,0.050654578790468016,0.08469181220506242,0.598104792796489,0.717434869739479,ns,True
BROOKLYN 12,0.740259740259738,40.640677684074134,-73.97858926652543,0.009660123495811525,0.06638995778998442,0.14550579360767193,0.7194388777555111,ns,True
BROOKLYN 13,-4.255411255411257,40.578410248799706,-73.9661611073665,-0.05134702075998509,0.23612811910736006,-0.21745407092595867,0.3527054108216433,ns,True
BROOKLYN 14,17.110389610389603,40.64060179977588,-73.96101535746612,-0.09565124138299397,-0.07165554840760968,1.3348755750062196,0.7434869739478958,ns,True
BROOKLYN 15,-2.1818181818181834,40.59326974931518,-73.95376517680307,-0.010063809970842701,0.15066165674374693,-0.06679742004934769,0.49298597194388777,ns,True
BROOKLYN 16,0.731601731601728,40.67430983756185,-73.9131554507116,-0.027864271715269236,-0.19233087629932097,0.14487674704868805,0.1683366733466934,ns,True
BROOKLYN 17,-4.863636363636367,40.65124276679489,-73.94252406388861,-0.0029797560360222855,0.011388563458253006,-0.26164459169456805,0.9478957915831663,ns,True
BROOKLYN 18,-2.8441558441558428,40.627873872276936,-73.91654079144995,0.0036584068244712884,-0.03183452245693855,-0.11491948181160526,0.8637274549098196,ns,True
BROOKLYN 55,0.16233766233766234,40.67183456561807,-73.96698914733341,-0.014288268619302737,-0.13802831883981484,0.10351693579550596,0.4028056112224449,ns,False
MANHATTAN 01,-5.430735930735931,40.711091917442346,-74.00841224190474,0.042008038155198255,-0.13871036713031037,-0.3028471413080043,0.38276553106212424,ns,True
MANHATTAN 02,-12.887445887445889,40.73152268380496,-74.00203852250158,0.04718485367166726,-0.05586561689733781,-0.8446134902327693,0.7434869739478958,ns,True
