unique_key,created_date,complaint_type,descriptor,borough,community_district,resolution_description,latitude,longitude
52984668,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 05,,40.70255798092736,-73.91032572080242
52988067,2022-01-06,Rodent,Signs of Rodents,QUEENS,QUEENS 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.70635779766306,-73.90818899163818
52982896,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 05,An inspection of the property was conducted and it passed with minor violations found.,40.704983427091335,-73.89924981619949
52987456,2022-01-06,Rodent,Condition Attracting Rodents,QUEENS,QUEENS 05,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.72478983137283,-73.89337163555308
52988370,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.70230472541999,-73.90938474445154
52985424,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 08,The Department of Health and Mental Hygiene closed this complaint and referred it to another agency because it was not within its jurisdiction.,40.71012592812904,-73.81613665379986
52985541,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 02,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.73779376778705,-73.90181997497156
52985364,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 05,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.707446646356935,-73.90381958818121
52984569,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 06,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.719642607567955,-73.84243809378445
52986224,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 06,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,40.71965080233258,-73.84240921424171
52980442,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 06,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.71965080233258,-73.84240921424171
52981894,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 06,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.719642607567955,-73.84243809378445
52987256,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 06,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.72000455448857,-73.84217388765693
52982751,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 06,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.719642607567955,-73.84243809378445
52983786,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 06,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.719642607567955,-73.84243809378445
52988066,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 06,,40.7201471531134,-73.84207975372206
52980984,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 10,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,40.678364484589146,-73.8202981979725
52980443,2022-01-06,Rodent,Rat Sighting,QUEENS,QUEENS 06,An inspection of the property was conducted and it passed with minor violations found.,40.719615189639825,-73.84245980371863
52994577,2022-01-07,Rodent,Rat Sighting,QUEENS,QUEENS 07,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location. You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,40.76064772182934,-73.83353693307944
